Line-ID,Population,Accession-ID,Species,Race,Latitude,Longitude,Altitude
LANTEO168,R2Teo,CIMMYTMA-029724,Zea mays ssp. parviglumis,,18.85,-100.8,606
LANTEO171,R2Teo,CIMMYTMA-029727,Zea mays ssp. parviglumis,,19.264,-100.458,1276
LANTEO174,R2Teo,CIMMYTMA-029730,Zea mays ssp. parviglumis,,19.69,-100.549,2053
LANTEO183,R2Teo,CIMMYTMA-029740,Zea mays ssp. parviglumis,,19.335,-101.918,1145
LANTEO185,R2Teo,CIMMYTMA-029742,Zea mays ssp. parviglumis,,19.88,-101.2,1848
LANTEO192,R2Teo,CIMMYTMA-029300,Zea nicaraguensis,,12.9,-86.926,175
LANTEO198,R2Teo,CIMMYTMA-029763,Zea mays ssp. parviglumis,,17.404,-99.467,1200
LANTEO201,R2Teo,CIMMYTMA-029766,Zea mays ssp. parviglumis,,18.633,-100.907,315
LANTEO202,R2Teo,CIMMYTMA-029767,Zea mays ssp. parviglumis,,18.633,-100.907,315
LANTEO203,R2Teo,CIMMYTMA-029768,Zea mays ssp. parviglumis,,20.2,-102.04,1859
LANTEO205,R2Teo,CIMMYTMA-029770,Zea mays ssp. parviglumis,,20.13,-102.09,1817
LANTEO207,R2Teo,CIMMYTMA-029772,Zea mays ssp. parviglumis,,20.099,-101.936,1705
LANTEO209,R2Teo,CIMMYTMA-029774,Zea mays ssp. parviglumis,,19.59,-103.96,704
LANTEO211,R2Teo,CIMMYTMA-029776,Zea mays ssp. parviglumis,,20.17,-102.03,1912
LANTEO213,R2Teo,CIMMYTMA-029778,Zea mays ssp. parviglumis,,20.549,-102.611,1620
LANTEO218,R2Teo,CIMMYTMA-029783,Zea mays ssp. parviglumis,,18.48,-99.78,1877
LANTEO220,R2Teo,CIMMYTMA-029785,Zea mays ssp. parviglumis,,19.226,-101.46,1535
LANTEO223,R2Teo,CIMMYTMA-029788,Zea mays ssp. parviglumis,,20.085,-101.515,1900
LANTEO224,R2Teo,CIMMYTMA-029789,Zea mays ssp. parviglumis,,20.85,-104.42,935
LANTEO226,R2Teo,CIMMYTMA-029791,Zea mays ssp. parviglumis,,20.55,-104.01,1236
LANTEO228,R2Teo,CIMMYTMA-029793,Zea mays ssp. parviglumis,,19.96,-104.05,1160
LANTEO236,R2Teo,ANNA2,Zea mays ssp. mexicana,,19.212,-99.127,2507
LANTEO237,R2Teo,ANNA3,Zea mays ssp. mexicana,,19.212,-98.809,2353
LANTEO238,R2Teo,ANNA5,Zea mays ssp. mexicana,,19.077,-98.843,2492
LANTEO239,R2Teo,ANNA8,Zea mays ssp. mexicana,,19.505,-98.923,2253
LANTEO241,R2Teo,ANNA11,Zea mays ssp. parv_mex?,,18.972,-99.037,1589
LANTEO255,R2Teo,JONAS_POP1,Zea mays ssp. parviglumis,,18.35,-99.841,1649
LANTEO264,R2Teo,JONAS_POP10,Zea mays ssp. mexicana,,19.407,-99.627,2581
LANTEO277,R2Teo,JONAS_POP23,Zea mays ssp. mexicana,,19.958,-102.516,1854
LANTEO279,R2Teo,JONAS_POP25,Zea mays ssp. mexicana,,20.053,-101.255,1849
LANTEO290,R2Teo,JONAS_POP36,Zea mays ssp. mexicana,,19.035,-97.442,2646
LANTEO292,R2Teo,JONAS_POP38,Zea mays ssp. mexicana,,19.159,-98.185,2306
LANTEO297,R2Teo,PI 384065,Zea mays ssp. parviglumis,,18.35,-99.85,1600
LANTEO298,R2Teo,PI 384066,Zea mays ssp. parviglumis,,18.35,-99.85,1700
LANTEO299,R2Teo,PI 384071,Zea mays ssp. parviglumis,,18.33,-100.32,1100
LANTEO300,R2Teo,Ames 21785,Zea mays ssp. parviglumis,,17.42,-99.5,1300
